Machnumber;Altitude;Mass Leader;Mass Follower;CL Leader;CL Follower;CDind Leader;CDind Follower;AoA Leader;AoA Follower;CD_vis_Follower;CD_wave_Follower;CD_ges_Follower;Oswaldfactor;Aileron;Rollmoment;Stabilizer;ANGLE;x-Position;y-Position;z-Position
0.8;10000;229421;73446.2;0.5;0.5;0;0.00666;0;-1.57874;0.0164231;0.00070769;0.0237908;0.9;0;0.00263;0.387537;0;30;1.5;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.00641;0;-1.60491;0.0164231;0.000707409;0.0235405;0.899;0;0.00307;0.385867;0;30;1.4;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.00611;0;-1.63556;0.0164231;0.000707468;0.0232406;0.8976;0;0.00362;0.383637;0;30;1.3;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.00576;0;-1.67162;0.0164231;0.00070809;0.0228912;0.8957;0;0.0043;0.380737;0;30;1.2;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.00535;0;-1.71344;0.0164231;0.000709445;0.0224826;0.8935;0;0.00512;0.377277;0;30;1.1;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.00494;0;-1.75833;0.0164231;0.000710299;0.0220734;0.8924;0;0.00589;0.374587;0;30;1;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.00466;0;-1.79792;0.0164231;0.000706106;0.0217892;0.895;0;0.00614;0.375697;0;30;0.9;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.00459;0;-1.82383;0.0164231;0.000692626;0.0217058;0.9005;0;0.00548;0.381717;0;30;0.8;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.00471;0;-1.83414;0.0164231;0.000673212;0.0218063;0.9059;0;0.004;0.388707;0;30;0.7;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.00498;0;-1.82899;0.0164231;0.000656986;0.0220601;0.9099;0;0.00191;0.389367;0;30;0.6;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.00538;0;-1.80746;0.0164231;0.000654103;0.0224572;0.9125;0;-0.00059;0.373817;0;30;0.5;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.00591;0;-1.76725;0.0164231;0.000669472;0.0230026;0.9135;0;-0.0034;0.335387;0;30;0.4;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.00653;0;-1.70526;0.0164231;0.000702627;0.0236558;0.9122;0;-0.00648;0.290257;0;30;0.3;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.00722;0;-1.61841;0.0164231;0.000752021;0.0243951;0.9074;0;-0.00982;0.272987;0;30;0.2;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.00798;0;-1.50357;0.0164231;0.000815957;0.0252191;0.8985;0;-0.01332;0.291717;0;30;0.1;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.00883;0;-1.35718;0.0164231;0.000891325;0.0261445;0.8862;0;-0.01685;0.335547;0;30;-1.94E-16;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.01107;0;-0.94777;0.0164231;0.00105729;0.0285504;0.854;0;-0.02401;0.474127;0;30;-0.2;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.01247;0;-0.7028;0.0164231;0.00112005;0.0300132;0.8366;0;-0.02611;0.544467;0;30;-0.3;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.01394;0;-0.46379;0.0164231;0.00114684;0.03151;0.8216;0;-0.02567;0.570977;0;30;-0.4;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.01551;0;-0.23131;0.0164231;0.0011467;0.0330798;0.8094;0;-0.02331;0.539577;0;30;-0.5;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.01716;0;-0.01132;0.0164231;0.00112264;0.0347058;0.8013;0;-0.01931;0.482787;0;30;-0.6;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.01887;0;0.19142;0.0164231;0.00107299;0.0363661;0.7996;0;-0.01413;0.442807;0;30;-0.7;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.0207;0;0.37767;0.0164231;0.000994983;0.0381181;0.8066;0;-0.00862;0.463657;0;30;-0.8;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.02232;0;0.52237;0.0164231;0.000899033;0.0396422;0.8191;0;-0.00276;0.527947;0;30;-0.9;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.02329;0;0.58645;0.0164231;0.000816258;0.0405294;0.8331;0;0.00333;0.525857;0;30;-1;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.02336;0;0.55429;0.0164231;0.000757045;0.0405402;0.8426;0;0.00831;0.475587;0;30;-1.1;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.02276;0;0.43976;0.0164231;0.000708767;0.0398919;0.8499;0;0.01169;0.408937;0;30;-1.2;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.02191;0;0.27766;0.0164231;0.000654657;0.0389878;0.8597;0;0.01347;0.339067;0;30;-1.3;0
0.8;10000;229421;73446.2;0.5;0.5;0;0.02133;0;0.12288;0.0164231;0.000597939;0.0383511;0.8737;0;0.01281;0.292617;0;30;-1.4;0
