Time;Horizontal Acceleration;Vertical Acceleration;Horizontal Velocity;Vertical Velocity;Horizontal Position;Vertical Position;Power;Thrust;Drag;Delta;Alpha;MissionEnergy
0;0;1;0;0;0;0;1865.03;93.3628;0;0;90;1871.73;
1.0036;0;1;0;1.0036;0;0.503602;1860.07;93.3646;0.00204651;9.82158e-006;90;3738.49;
2.00719;0;1;0;2.00719;0;2.01441;1866.93;93.3701;0.00818486;3.92783e-005;90;5612.13;
3.01079;0;0;0;3;0;5.0252;1819.88;84.7424;0.0182789;9.66494e-005;90;7438.55;
4.01438;0;0;0;3;0;8.03598;1819.36;84.7424;0.0182736;9.66215e-005;90;9264.45;
5.01798;0;0;0;3;0;11.0468;1818.84;84.7424;0.0182684;9.65936e-005;90;11089.8;
6.02157;0;0;0;3;0;14.0576;1818.32;84.7424;0.0182631;9.65656e-005;90;12914.7;
7.02517;0;0;0;3;0;17.0683;1817.8;84.7424;0.0182578;9.65377e-005;90;14739;
8.02876;0;0;0;3;0;20.0791;1817.28;84.7424;0.0182525;9.65098e-005;90;16562.8;
9.03236;0;0;0;3;0;23.0899;1816.76;84.7424;0.0182472;9.64819e-005;90;18386.1;
10.036;0;0;0;3;0;26.1007;1816.25;84.7424;0.018242;9.6454e-005;90;20208.9;
11.0396;0;0;0;3;0;29.1115;1815.73;84.7424;0.0182367;9.64261e-005;90;22031.2;
12.0431;0;0;0;3;0;32.1223;1815.21;84.7424;0.0182314;9.63983e-005;90;23852.9;
13.0467;0;0;0;3;0;35.1331;1814.69;84.7424;0.0182261;9.63704e-005;90;25674.1;
14.0503;0;0;0;3;0;38.1438;1814.17;84.7424;0.0182209;9.63425e-005;90;27494.8;
15.0539;0;0;0;3;0;41.1546;1813.66;84.7424;0.0182156;9.63147e-005;90;29315;
16.0575;0;0;0;3;0;44.1654;1813.14;84.7424;0.0182103;9.62868e-005;90;31134.7;
17.0611;0;0;0;3;0;47.1762;1812.62;84.7423;0.0182051;9.6259e-005;90;32953.8;
18.0647;0;0;0;3;0;50.187;1812.1;84.7423;0.0181998;9.62311e-005;90;34772.4;
19.0683;0;0;0;3;0;53.1978;1811.59;84.7423;0.0181945;9.62033e-005;90;36590.5;
20.0719;0;0;0;3;0;56.2086;1811.07;84.7423;0.0181893;9.61754e-005;90;38408.1;
21.0755;0;-1;0;1.9964;0;58.7158;1621.01;76.0966;0.00805314;4.74187e-005;90;40034.9;
22.0791;1;0;1.0036;1.5;0.503602;60.2211;1619.16;85.1714;0.00707904;0.101625;0.981136;41659.9;
23.0827;1;0;2.00719;1.5;2.01441;61.7265;1619.41;85.175;0.0145675;0.101712;0.641779;43285.2;
24.0863;1;0;3.01079;1.5;4.53242;63.2319;1620.94;85.1795;0.0268811;0.101853;0.462213;44911.9;
25.0899;1;0;4.01438;1.5;8.05763;64.7373;1623.19;85.1847;0.0440762;0.10205;0.357592;46540.9;
26.0935;1;0;5.01798;1.5;12.5901;66.2427;1626.61;85.1904;0.0661646;0.102304;0.29047;48173.4;
27.0971;0;0;5;1.5;17.608;67.7481;1623.56;84.745;0.0656939;0.000742503;0.291457;49802.8;
